product_name,a101_price,sok_price,cheapest_store
Samba Patates Cipsi Tırtıklı Acı Biber 135 G,34.0,34.0,Sok
Samba Tırtıklı Patates Cips 150 G,34.0,34.0,Sok
Samba Taco Mısır Cipsi 130 G,25.0,25.0,Sok
Patos Nachos Peynir Aromalı Mısır Cipsi 135 G,25.0,25.0,Sok
Samba Acılı Mısır Cips 130 G,25.0,25.0,Sok
Doritos Nacho Mısır Cipsi 135 G,30.5,25.0,Sok
Samba Tırtıklı Barbekü Patates Cipsi 200 G,47.5,34.0,Sok
Lay's Baharatlı Patates Cipsi 125 G,32.5,47.0,A101
